%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=209630, 2017/10/3 18:0:48.31)
1 11 6.508507e-02 1.150022e+00  2.999547315489649035e-01  2.999547315489649035e-01  3.419393034619669369e-01  9.821710445039996129e-01
2 21 6.996736e-02 1.278638e+00  2.781126775649835903e-01  2.781126775649835903e-01  3.137752072281946303e-01  3.569046199991304791e-01
3 31 7.870068e-02 1.421615e+00  2.750381358010837163e-01  2.750381358010837163e-01  2.985977658967984283e-01  4.066475004522285275e-01
4 41 8.453722e-02 1.466868e+00  2.628857294199307693e-01  2.628857294199307693e-01  2.983924472075928369e-01  3.192548431563828615e-01
5 51 9.960982e-02 1.644235e+00  2.557881449720919576e-01  2.557881449720919576e-01  2.651591675406541615e-01  3.056963921069376644e-01
6 61 1.038359e-01 1.694568e+00  2.557881449720919576e-01  2.646409953654012548e-01  2.732218794397337502e-01  3.505076554603477890e-01
7 71 9.340250e-02 1.694756e+00  2.557881449720919576e-01  2.570821302488819904e-01  2.962975239575455499e-01  1.022161617398216205e+00
8 81 8.831578e-02 1.751666e+00  2.540958851611685443e-01  2.540958851611685443e-01  2.626664757090144686e-01  2.841813487435098651e-01
9 91 9.316196e-02 1.706500e+00  2.421694286029317245e-01  2.421694286029317245e-01  2.601748717223866247e-01  2.674889584996584802e-01
10 101 9.112681e-02 1.698499e+00  2.408120355945645996e-01  2.408120355945645996e-01  2.498577485971547885e-01  2.674045479270000247e-01
11 111 8.676825e-02 1.697296e+00  2.379289710448407591e-01  2.379289710448407591e-01  2.497663295536287076e-01  2.647450102900218982e-01
12 121 8.123668e-02 1.689480e+00  2.359536651008326547e-01  2.359536651008326547e-01  2.422140274478222499e-01  2.657963178761177936e-01
13 131 7.821435e-02 1.671430e+00  2.359536651008326547e-01  2.385812833067570693e-01  2.518795049251499329e-01  2.667830726935864760e-01
14 141 7.479719e-02 1.670189e+00  2.336897099975848713e-01  2.336897099975848713e-01  2.427394664424762372e-01  2.524355446337631093e-01
15 151 7.071934e-02 1.700610e+00  2.335170562545235418e-01  2.335170562545235418e-01  2.385429728747346934e-01  2.452271889600062260e-01
16 161 6.327873e-02 1.736647e+00  2.335170562545235418e-01  2.361554635632434063e-01  2.405742839079590412e-01  2.470674809059604238e-01
17 171 5.411512e-02 1.726819e+00  2.334563262771306991e-01  2.334563262771306991e-01  2.408693623175981180e-01  2.508547103200782225e-01
18 181 4.720854e-02 1.756347e+00  2.334563262771306991e-01  2.340185895081750012e-01  2.355284216725551660e-01  2.401812434648200323e-01
19 191 4.576311e-02 1.762460e+00  2.334563262771306991e-01  2.338530109041201677e-01  2.353360722590637777e-01  2.398105256583711042e-01
20 201 4.096665e-02 1.797722e+00  2.334563262771306991e-01  2.338945861007636629e-01  2.349540539690571361e-01  2.417126735963012474e-01
21 211 3.724563e-02 1.800326e+00  2.326354998244978267e-01  2.326354998244978267e-01  2.346211616261920097e-01  2.410564300629726708e-01
22 221 3.267441e-02 1.784967e+00  2.319865693539510110e-01  2.319865693539510110e-01  2.339594628110934216e-01  2.464444658980447511e-01
23 231 2.685275e-02 1.766152e+00  2.319865693539510110e-01  2.320250712281726191e-01  2.335100929522682667e-01  2.366085080184789635e-01
24 241 2.576154e-02 1.775174e+00  2.319865693539510110e-01  2.321516626692285701e-01  2.326754756955967673e-01  2.335984588676471851e-01
25 251 2.242067e-02 1.735365e+00  2.319865693539510110e-01  2.320026875514482889e-01  2.324643786293094649e-01  2.332625046340920383e-01
26 261 1.930773e-02 1.706472e+00  2.319865693539510110e-01  2.320203048087356168e-01  2.326644563997812276e-01  2.329642168981435613e-01
27 271 1.724237e-02 1.690849e+00  2.319865693539510110e-01  2.320602085939065529e-01  2.322786211492992581e-01  2.330564226877058776e-01
28 281 1.558146e-02 1.692754e+00  2.318936469467940409e-01  2.318936469467940409e-01  2.320244779104324029e-01  2.324830323321847581e-01
29 291 1.515764e-02 1.719080e+00  2.318936469467940409e-01  2.320027594150028682e-01  2.320994244436281606e-01  2.321917480788604771e-01
