%  columns="iteration, evaluation, void, void, void, xmean" (startseed=209630, 2017/10/3 18:0:48.31)
0 1 0 0 0 -1.267692e-02 -1.953911e-01 -1.437820e-02 1.666679e-01 -1.305801e-01 2.909796e-01 
1 11 0 0 0 -3.318638e-02 -2.605754e-01 -2.909445e-03 2.003944e-01 -8.812139e-02 3.378423e-01 
2 21 0 0 0 -9.509189e-02 -2.331698e-01 -7.664053e-02 1.123003e-01 -8.918223e-02 3.429657e-01 
3 31 0 0 0 -1.646737e-01 -2.586659e-01 -1.091879e-01 1.325281e-01 -1.623150e-01 3.218336e-01 
4 41 0 0 0 -2.126047e-01 -2.601903e-01 -7.756921e-02 2.091220e-01 -1.718538e-01 3.527273e-01 
5 51 0 0 0 -3.164450e-01 -2.901394e-01 -2.328249e-02 2.529209e-01 -1.592850e-01 3.935183e-01 
6 61 0 0 0 -2.667914e-01 -2.562486e-01 -1.490213e-02 2.907689e-01 -1.696067e-01 4.723456e-01 
7 71 0 0 0 -2.413044e-01 -2.841967e-01 -2.911998e-02 2.413514e-01 -2.455261e-01 4.005854e-01 
8 81 0 0 0 -3.066022e-01 -3.234911e-01 5.621912e-03 2.663032e-01 -2.532707e-01 4.512005e-01 
9 91 0 0 0 -3.179282e-01 -2.930546e-01 -3.620007e-02 1.065439e-01 -2.191004e-01 4.354932e-01 
10 101 0 0 0 -3.179433e-01 -3.094793e-01 4.826295e-02 1.345958e-01 -2.229000e-01 4.547613e-01 
11 111 0 0 0 -3.306231e-01 -3.252176e-01 3.722561e-02 9.636696e-02 -1.667289e-01 4.474552e-01 
12 121 0 0 0 -3.637983e-01 -3.276135e-01 7.912273e-02 1.082666e-01 -1.602978e-01 4.538942e-01 
13 131 0 0 0 -3.399684e-01 -3.512686e-01 1.272129e-01 9.360496e-02 -1.647462e-01 4.609217e-01 
14 141 0 0 0 -4.015063e-01 -3.267470e-01 8.009197e-02 6.130914e-02 -1.406622e-01 5.019584e-01 
15 151 0 0 0 -4.086176e-01 -3.157116e-01 3.653286e-02 1.486519e-02 -1.433535e-01 4.679489e-01 
16 161 0 0 0 -4.230929e-01 -3.197794e-01 6.779473e-02 3.190235e-02 -1.842957e-01 4.550926e-01 
17 171 0 0 0 -4.176133e-01 -3.217612e-01 7.571434e-02 5.326243e-02 -1.836312e-01 4.925053e-01 
18 181 0 0 0 -4.023573e-01 -3.285029e-01 9.892741e-02 7.432056e-02 -1.890256e-01 4.929255e-01 
19 191 0 0 0 -3.683922e-01 -2.971893e-01 6.402877e-02 8.779691e-02 -1.958947e-01 4.822158e-01 
20 201 0 0 0 -3.791437e-01 -3.118487e-01 6.757714e-02 3.467704e-02 -1.854539e-01 4.712509e-01 
21 211 0 0 0 -3.848409e-01 -3.080913e-01 7.802455e-02 5.800045e-02 -1.808189e-01 4.522428e-01 
22 221 0 0 0 -3.934661e-01 -3.186468e-01 7.710434e-02 5.854819e-02 -1.762992e-01 4.517534e-01 
23 231 0 0 0 -3.963462e-01 -3.153567e-01 7.617556e-02 5.559864e-02 -1.704676e-01 4.621178e-01 
24 241 0 0 0 -4.030433e-01 -3.152119e-01 7.692246e-02 6.637105e-02 -1.577105e-01 4.573116e-01 
25 251 0 0 0 -4.039484e-01 -3.233671e-01 6.887894e-02 5.864075e-02 -1.686458e-01 4.622578e-01 
26 261 0 0 0 -3.990738e-01 -3.238354e-01 7.500744e-02 6.055049e-02 -1.662669e-01 4.696207e-01 
27 271 0 0 0 -4.048698e-01 -3.282635e-01 7.421582e-02 5.578629e-02 -1.732843e-01 4.611360e-01 
28 281 0 0 0 -4.021511e-01 -3.254221e-01 7.521026e-02 4.943367e-02 -1.763389e-01 4.579038e-01 
29 291 0 0 0 -3.947001e-01 -3.299234e-01 7.852641e-02 4.311482e-02 -1.715202e-01 4.589053e-01 
