%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=209630, 2017/10/3 18:0:48.31)
1 11  2.999547315489649035e-01 0 0 -3.836195e-02 -2.838213e-01 4.655880e-02 2.626628e-01 -9.325995e-02 3.492463e-01 
2 21  2.781126775649835903e-01 0 0 -1.383642e-01 -2.358931e-01 -9.723168e-02 8.560163e-02 -1.370019e-01 3.377233e-01 
3 31  2.750381358010837163e-01 0 0 -1.627937e-01 -2.571693e-01 -6.502777e-02 2.149969e-01 -1.399208e-01 3.274718e-01 
4 41  2.628857294199307693e-01 0 0 -1.945695e-01 -2.888830e-01 -6.305355e-02 1.967539e-01 -1.637587e-01 3.554977e-01 
5 51  2.557881449720919576e-01 0 0 -3.087017e-01 -2.647918e-01 -3.831431e-02 2.465733e-01 -1.115739e-01 4.301720e-01 
6 61  2.646409953654012548e-01 0 0 -3.321144e-01 -2.457385e-01 -5.610009e-02 3.102900e-01 -1.445512e-01 5.172962e-01 
7 71  2.570821302488819904e-01 0 0 -2.867669e-01 -3.372778e-01 -5.138860e-02 2.672604e-01 -2.976361e-01 4.281575e-01 
8 81  2.540958851611685443e-01 0 0 -2.706327e-01 -3.190135e-01 1.914025e-02 2.872801e-01 -1.779431e-01 4.064973e-01 
9 91  2.421694286029317245e-01 0 0 -2.929670e-01 -3.097295e-01 -3.073738e-02 1.268050e-01 -2.310737e-01 4.154930e-01 
10 101  2.408120355945645996e-01 0 0 -3.088015e-01 -3.211318e-01 2.518961e-02 1.730592e-01 -2.556669e-01 4.472834e-01 
11 111  2.379289710448407591e-01 0 0 -3.188425e-01 -3.390039e-01 6.489940e-02 1.229588e-01 -9.462341e-02 4.646155e-01 
12 121  2.359536651008326547e-01 0 0 -3.474708e-01 -3.302840e-01 6.402776e-02 1.189760e-01 -1.086262e-01 4.525382e-01 
13 131  2.385812833067570693e-01 0 0 -4.021482e-01 -3.885883e-01 1.898549e-01 6.575958e-02 -1.360673e-01 4.254273e-01 
14 141  2.336897099975848713e-01 0 0 -4.186174e-01 -3.462832e-01 1.133283e-01 4.157413e-02 -1.275964e-01 5.061951e-01 
15 151  2.335170562545235418e-01 0 0 -4.245169e-01 -3.473796e-01 5.749953e-02 -6.347150e-03 -1.630073e-01 4.384224e-01 
16 161  2.361554635632434063e-01 0 0 -4.239486e-01 -2.755108e-01 1.000236e-02 -2.436969e-02 -1.528980e-01 4.697655e-01 
17 171  2.334563262771306991e-01 0 0 -4.227634e-01 -3.370139e-01 1.248838e-01 2.465224e-02 -1.892644e-01 4.556216e-01 
18 181  2.340185895081750012e-01 0 0 -4.217847e-01 -3.662993e-01 1.119027e-01 7.977313e-02 -1.706166e-01 4.911167e-01 
19 191  2.338530109041201677e-01 0 0 -3.712533e-01 -3.030921e-01 6.035949e-02 8.574796e-02 -2.083009e-01 5.051783e-01 
20 201  2.338945861007636629e-01 0 0 -4.174555e-01 -3.122680e-01 1.017659e-01 8.910734e-03 -2.073565e-01 4.717434e-01 
21 211  2.326354998244978267e-01 0 0 -3.779238e-01 -3.117961e-01 9.093882e-02 6.916237e-02 -1.654001e-01 4.403134e-01 
22 221  2.319865693539510110e-01 0 0 -3.922576e-01 -3.280893e-01 7.812748e-02 4.618124e-02 -1.799322e-01 4.595496e-01 
23 231  2.320250712281726191e-01 0 0 -3.898384e-01 -3.304317e-01 7.835652e-02 5.971876e-02 -1.542230e-01 4.618156e-01 
24 241  2.321516626692285701e-01 0 0 -3.937522e-01 -3.077907e-01 6.802053e-02 6.612365e-02 -1.554873e-01 4.538092e-01 
25 251  2.320026875514482889e-01 0 0 -3.857775e-01 -3.213100e-01 6.919946e-02 5.795957e-02 -1.806417e-01 4.582841e-01 
26 261  2.320203048087356168e-01 0 0 -4.020395e-01 -3.328833e-01 6.825922e-02 5.408201e-02 -1.679644e-01 4.730865e-01 
27 271  2.320602085939065529e-01 0 0 -4.161242e-01 -3.231012e-01 6.376958e-02 5.683861e-02 -1.885608e-01 4.582868e-01 
28 281  2.318936469467940409e-01 0 0 -3.989451e-01 -3.250035e-01 7.191793e-02 3.989535e-02 -1.736385e-01 4.565470e-01 
29 291  2.320027594150028682e-01 0 0 -3.932040e-01 -3.312430e-01 8.235927e-02 4.114940e-02 -1.728866e-01 4.575273e-01 
